Search Name,Address,Address Lat,Address Long,Nearest MRT Station,Nearest MRT Distance,Nearest Mall Name,Nearest Mall Distance,Nearest Bus Stop Code,Nearest Bus Stop Distance,Number of Bus Stops,Nearest NPC,Nearest NPC Distance,Nearest School,Nearest School Distance,Nearest Green Area,Nearest Green Area Distance
570 ANG MO KIO AVE 3,570 ANG MO KIO AVENUE 3,1.3697435855576,103.856023138277,ANG MO KIO MRT STATION (NS16),0.7189839508496876,CATHAY CINEPLEX AMK HUB,0.842438804214977,54281 (BUS STOP),0.028192434465705102,3,Ang Mo Kio South Neighbourhood Police Centre,0.4797704423369506,Jing Shan Primary School,0.5135161629182501,Ang Mo Kio Town Garden East,0.6254807673048846
624 ANG MO KIO AVE 4,624 ANG MO KIO AVENUE 4,1.38156171229824,103.84000226873,YIO CHU KANG MRT STATION (NS15),0.5501238956626665,CATHAY CINEPLEX AMK HUB,1.666270037061312,55149 (BUS STOP),0.08216670978979589,3,Ang Mo Kio North Neighbourhood Police Centre,0.6837402750148871,Anderson Primary School,0.3379014102097772,Ang Mo Kio Town Garden West,0.8850304875483733
441 ANG MO KIO AVE 10,441 ANG MO KIO AVENUE 10,1.36605027829032,103.854168309853,ANG MO KIO MRT STATION (NS16),0.6700954894775877,CATHAY CINEPLEX AMK HUB,0.7239610955895718,54381 (BUS STOP),0.21594045945376808,0,Ang Mo Kio South Neighbourhood Police Centre,0.5096044608452182,Deyi Secondary School,0.1804640848443726,Ang Mo Kio Town Garden East,0.6593879797430404
625 ANG MO KIO AVE 9,625 ANG MO KIO AVENUE 9,1.38219867741921,103.841211533475,YIO CHU KANG MRT STATION (NS15),0.4181836467619143,CATHAY CINEPLEX AMK HUB,1.6557324612151998,55169 (BUS STOP),0.10949925479948444,3,Ang Mo Kio North Neighbourhood Police Centre,0.5329843489771989,Presbyterian High School,0.21641503876604648,Ang Mo Kio Town Garden West,0.9136594511189626
119 ANG MO KIO AVE 3,119 ANG MO KIO AVENUE 3,1.36956344301912,103.844698910817,ANG MO KIO MRT STATION (NS16),0.5417222490689846,CATHAY CINEPLEX AMK HUB,0.42064578315904805,54031 (BUS STOP),0.09207654681650133,4,Ang Mo Kio South Neighbourhood Police Centre,0.7804678608307271,Ang Mo Kio Secondary School,0.3758413704777116,Ang Mo Kio Town Garden West,0.5476790567770811
255 ANG MO KIO AVE 4,255 ANG MO KIO AVENUE 4,1.37065487078854,103.834630215787,MAYFLOWER MRT STATION (TE6),0.2333860693050655,CATHAY CINEPLEX AMK HUB,1.5464601708973376,54169 (BUS STOP),0.031046690939815255,2,Ang Mo Kio South Neighbourhood Police Centre,1.9004961123210027,Mayflower Secondary School,0.2770578948997778,Ang Mo Kio Town Garden West,1.003824313508587
432 ANG MO KIO AVE 10,432 ANG MO KIO AVENUE 10,1.36830996981351,103.853600305664,ANG MO KIO MRT STATION (NS16),0.48422745349167073,CATHAY CINEPLEX AMK HUB,0.579268531270479,54279 (BUS STOP),0.1612218379890041,2,Ang Mo Kio South Neighbourhood Police Centre,0.27592244155459283,Deyi Secondary School,0.28264377128449525,Ang Mo Kio Town Garden East,0.43670344885247053
211 ANG MO KIO AVE 3,211 ANG MO KIO AVENUE 3,1.369196965617,103.841666636086,MAYFLOWER MRT STATION (TE6),0.6202987941974487,CATHAY CINEPLEX AMK HUB,0.755703983657657,54231 (BUS STOP),0.059747038188068896,3,Ang Mo Kio South Neighbourhood Police Centre,1.1194266837364364,Ang Mo Kio Secondary School,0.21381375822642773,Ang Mo Kio Town Garden West,0.5707889511061979
584 ANG MO KIO AVE 3,584 ANG MO KIO AVENUE 3,1.3707097868791,103.853494767426,ANG MO KIO MRT STATION (NS16),0.4460597330751892,CATHAY CINEPLEX AMK HUB,0.5840278217993609,54271 (BUS STOP),0.08339292364404353,2,Ang Mo Kio South Neighbourhood Police Centre,0.2169270767074051,Jing Shan Primary School,0.22721351586869035,Ang Mo Kio Town Garden East,0.3354663106384194
118 ANG MO KIO AVE 4,118 ANG MO KIO AVENUE 4,1.37329593649654,103.835475719134,MAYFLOWER MRT STATION (TE6),0.23720938042193968,CATHAY CINEPLEX AMK HUB,1.5142614517749953,54161 (BUS STOP),0.2570225449637076,0,Ang Mo Kio North Neighbourhood Police Centre,1.6852248175542204,CHIJ St. Nicholas Girls’ School,0.13737273577588957,Ang Mo Kio Town Garden West,0.8363604918953128
