Bus Stop Code,Bus Stop Lat,Bus Stop Long
01012 (BUS STOP),1.29684825480832,103.852535916404
01013 (BUS STOP),1.29770970603268,103.853224746255
01019 (BUS STOP),1.29698951177674,103.853022011725
01029 (BUS STOP),1.29667298496446,103.854414224643
01039 (BUS STOP),1.29820784139712,103.855491398238
01059 (BUS STOP),1.30075679512967,103.856110404508
01109 (BUS STOP),1.30358577572226,103.856503729982
01112 (BUS STOP),1.30009212839109,103.855200271122
01113 (BUS STOP),1.30117297541573,103.856114010503
01119 (BUS STOP),1.29960410938066,103.855129340864
01121 (BUS STOP),1.30393809684232,103.858679992432
01129 (BUS STOP),1.30350269180488,103.858645307049
01139 (BUS STOP),1.30033057848726,103.857160806727
01211 (BUS STOP),1.30551803509609,103.860544951671
01219 (BUS STOP),1.30526598535747,103.86072019901
01229 (BUS STOP),1.30337552638842,103.859630891847
01231 (BUS STOP),1.30325000004393,103.86108305583
01239 (BUS STOP),1.3029123660838,103.861618176111
01311 (BUS STOP),1.3070916462028,103.86219695241
01319 (BUS STOP),1.30757426732759,103.863255961235
01329 (BUS STOP),1.30495670225514,103.863630284705
01339 (BUS STOP),1.30774363776246,103.864257987613
01341 (BUS STOP),1.30647555593763,103.864525277988
01349 (BUS STOP),1.30568635723702,103.865439944179
01411 (BUS STOP),1.3021133285139,103.862955981605
01419 (BUS STOP),1.30201999999138,103.863263332944
01421 (BUS STOP),1.30338444386515,103.864838888919
01429 (BUS STOP),1.30321360900813,103.865015847942
01511 (BUS STOP),1.29919826096992,103.858645183093
01519 (BUS STOP),1.29907492488443,103.858910297344
01521 (BUS STOP),1.30088304430785,103.860660981822
01529 (BUS STOP),1.30041667662867,103.8604411526
01541 (BUS STOP),1.29886465428596,103.857345836288
01549 (BUS STOP),1.30069868847504,103.858731204671
01559 (BUS STOP),1.30168731077433,103.857529239548
01611 (BUS STOP),1.29527259171372,103.855336861676
01619 (BUS STOP),1.29428694178272,103.855038094311
01621 (BUS STOP),1.29695888895616,103.856556111031
01629 (BUS STOP),1.29707869509039,103.856903349079
01631 (BUS STOP),1.29693614582667,103.855805555145
01639 (BUS STOP),1.29738749987808,103.855575832976
02029 (BUS STOP),1.29010611229018,103.854640070146
02049 (BUS STOP),1.2945209123785,103.854021554916
02051 (BUS STOP),1.28950305547161,103.859033888925
02061 (BUS STOP),1.28996388896439,103.856403888727
02089 (BUS STOP),1.29152694451847,103.859206110915
02099 (BUS STOP),1.29081586641528,103.861998252432
02101 (BUS STOP),1.28938483772876,103.861831481095
02111 (BUS STOP),1.29095592355259,103.854534194216
02119 (BUS STOP),1.29184407342922,103.855343343119
02141 (BUS STOP),1.29576571609908,103.859338146261
02149 (BUS STOP),1.29560459817752,103.859555330292
02151 (BUS STOP),1.29317776313999,103.85784623004
02159 (BUS STOP),1.29360811213504,103.858406728355
02161 (BUS STOP),1.29268553501923,103.860931561814
02169 (BUS STOP),1.29333836787461,103.860708490596
02171 (BUS STOP),1.2907000001077,103.860921944461
02181 (BUS STOP),1.28947444409018,103.850981667
03011 (BUS STOP),1.28561840931815,103.853422232396
03019 (BUS STOP),1.28321718076784,103.852775892712
03021 (BUS STOP),1.28255524596187,103.849989037893
03031 (BUS STOP),1.28207492214824,103.850860749115
03041 (BUS STOP),1.28179509387891,103.848932073781
03059 (BUS STOP),1.28111212469508,103.851467170778
03071 (BUS STOP),1.27990609633635,103.849400304313
03111 (BUS STOP),1.27782595353976,103.848101171973
03129 (BUS STOP),1.27807003538965,103.849567181306
03151 (BUS STOP),1.27881655000529,103.847738551577
03217 (BUS STOP),1.27552218904516,103.847944367424
03218 (BUS STOP),1.27407888877056,103.846873888836
03222 (BUS STOP),1.27397836918822,103.844895629088
03223 (BUS STOP),1.27570339509611,103.846324682288
03239 (BUS STOP),1.27464226948314,103.847567213588
03241 (BUS STOP),1.27463301797673,103.845413650914
03331 (BUS STOP),1.27663307202793,103.860768080112
03339 (BUS STOP),1.27498516412812,103.859500162437
03341 (BUS STOP),1.27959780018815,103.864337684408
03349 (BUS STOP),1.27965600603108,103.864778079487
03361 (BUS STOP),1.27992348212971,103.86889383819
03369 (BUS STOP),1.2800467310745,103.869139223905
03371 (BUS STOP),1.28066479289803,103.866269555166
03381 (BUS STOP),1.28162601315345,103.853065137121
03391 (BUS STOP),1.28037660347223,103.854980067612
03411 (BUS STOP),1.27159299870415,103.86300900495
03419 (BUS STOP),1.27127698471,103.862976931646
03421 (BUS STOP),1.26694090287899,103.859647781279
03501 (BUS STOP),1.28500467664554,103.860611053796
03509 (BUS STOP),1.28314999983675,103.860043888782
03511 (BUS STOP),1.281947794706,103.858970648725
03519 (BUS STOP),1.28124499986466,103.858847999838
03529 (BUS STOP),1.27939957412248,103.852787699217
03539 (BUS STOP),1.27753305476639,103.855616099993
03549 (BUS STOP),1.2777333536256,103.850446430766
03579 (BUS STOP),1.278863527835,103.853052135456
04019 (BUS STOP),1.29819114214571,103.849817939127
04029 (BUS STOP),1.29971961306198,103.851081331868
04111 (BUS STOP),1.29395444163265,103.851390966366
04121 (BUS STOP),1.29618544078675,103.84958029961
04142 (BUS STOP),1.29309826453552,103.849659945075
04143 (BUS STOP),1.29411640834634,103.850206068987
04149 (BUS STOP),1.29276132406824,103.849837413307
04151 (BUS STOP),1.29533777799238,103.851139722049
04159 (BUS STOP),1.29489484941287,103.85108138664
04167 (BUS STOP),1.29250006522472,103.851453154687
04168 (BUS STOP),1.2920822148308,103.851259946803
04179 (BUS STOP),1.2964791630677,103.851471644872
04211 (BUS STOP),1.29043611099385,103.847124444049
04219 (BUS STOP),1.29096802761666,103.846867778302
04222 (BUS STOP),1.28898962167139,103.847089763588
04223 (BUS STOP),1.29084476137522,103.848579010159
04229 (BUS STOP),1.29044830817067,103.848751235521
04239 (BUS STOP),1.2888271791594,103.847493811797
04249 (BUS STOP),1.29043039362778,103.850262164946
04251 (BUS STOP),1.28973833290748,103.848884721912
04311 (BUS STOP),1.29464575323693,103.843921422999
04321 (BUS STOP),1.29214000764069,103.843036461843
04329 (BUS STOP),1.29197057114893,103.843283849735
04331 (BUS STOP),1.29211517391175,103.844766065931
04339 (BUS STOP),1.29257743696662,103.844643321927
05009 (BUS STOP),1.28592554089359,103.849236429653
05012 (BUS STOP),1.28154583307599,103.840877221995
05013 (BUS STOP),1.28406979932278,103.842998743108
05019 (BUS STOP),1.2811838887867,103.841049999869
05022 (BUS STOP),1.28571089872466,103.844372033986
05023 (BUS STOP),1.28692928350682,103.845403756289
05029 (BUS STOP),1.28712283348461,103.848197808089
05039 (BUS STOP),1.28293819116175,103.842542767614
05049 (BUS STOP),1.28531114754938,103.844550706968
05059 (BUS STOP),1.28676420111678,103.845750364471
05069 (BUS STOP),1.28027629952816,103.840297914295
05129 (BUS STOP),1.28601166692753,103.846346666944
05131 (BUS STOP),1.28398513141527,103.84527387283
05189 (BUS STOP),1.28209139597094,103.845280614334
05199 (BUS STOP),1.28451455839276,103.84666049321
05239 (BUS STOP),1.27854113015004,103.841510542401
05241 (BUS STOP),1.28071988238564,103.842274886413
05259 (BUS STOP),1.27979447843903,103.84262707612
05269 (BUS STOP),1.28089181240758,103.844568156315
05271 (BUS STOP),1.27975329532038,103.843822124055
05319 (BUS STOP),1.28449667301876,103.849086858367
05411 (BUS STOP),1.27519165679949,103.843091903803
05419 (BUS STOP),1.27470669455583,103.843186838389
05421 (BUS STOP),1.27777470568558,103.843463472825
05429 (BUS STOP),1.27769413056945,103.843706543793
05431 (BUS STOP),1.27401350533634,103.84204929239
05519 (BUS STOP),1.27553472193924,103.841126943937
05521 (BUS STOP),1.27676861105188,103.840592222072
05629 (BUS STOP),1.27329192025287,103.841929093432
05631 (BUS STOP),1.2734605594106,103.840347181838
05641 (BUS STOP),1.27272393108316,103.84140618792
05649 (BUS STOP),1.27238421228039,103.840939122249
05651 (BUS STOP),1.27324242147659,103.843050852324
06011 (BUS STOP),1.28061779605839,103.839063231262
06029 (BUS STOP),1.28164905901502,103.838666004681
06031 (BUS STOP),1.28607055552193,103.83879166669
06039 (BUS STOP),1.28705997883147,103.839625555981
06049 (BUS STOP),1.28474856873443,103.835177050417
06051 (BUS STOP),1.28475980959998,103.834056717187
06069 (BUS STOP),1.28623157720512,103.834961624321
06071 (BUS STOP),1.28667299684497,103.833605041578
06081 (BUS STOP),1.28825189108685,103.833586857817
06129 (BUS STOP),1.29078162052379,103.834409167056
06131 (BUS STOP),1.29152472187174,103.832227500083
06141 (BUS STOP),1.28963300934001,103.833812419286
06149 (BUS STOP),1.28984045728132,103.834115266769
06151 (BUS STOP),1.28870976848331,103.83737276976
06159 (BUS STOP),1.28909385414375,103.836879403466
06161 (BUS STOP),1.2890170568529,103.839942860899
06169 (BUS STOP),1.28937078931152,103.83998944924
06171 (BUS STOP),1.28607730047552,103.842447885809
06189 (BUS STOP),1.28779136471054,103.843294280964
07011 (BUS STOP),1.30099699065393,103.849810187363
07021 (BUS STOP),1.30372354559018,103.850036756529
07031 (BUS STOP),1.30572083284755,103.851205832896
07111 (BUS STOP),1.3087936645226,103.853175199339
07211 (BUS STOP),1.31313747735329,103.856356143972
07221 (BUS STOP),1.3149672736087,103.857818101244
07231 (BUS STOP),1.30964820668363,103.857353913815
07241 (BUS STOP),1.3155714208327,103.859006166989
07249 (BUS STOP),1.31538504412535,103.859467696885
07319 (BUS STOP),1.31038833292988,103.858706666902
07329 (BUS STOP),1.31284472576621,103.859890882749
07331 (BUS STOP),1.30824994552265,103.858909607192
07351 (BUS STOP),1.31351833300098,103.860545278099
07359 (BUS STOP),1.31368253066007,103.860714518003
07361 (BUS STOP),1.31167636075185,103.861894837218
07369 (BUS STOP),1.31129622140788,103.862495482575
07371 (BUS STOP),1.30931952260404,103.863546598861
07379 (BUS STOP),1.31017336740878,103.86338225528
07419 (BUS STOP),1.30653024107222,103.856163024795
07517 (BUS STOP),1.30145216144414,103.852477819409
07518 (BUS STOP),1.30095828368533,103.852111750416
07529 (BUS STOP),1.3045362805528,103.854788655981
07531 (BUS STOP),1.30365644363277,103.852573232613
07539 (BUS STOP),1.30461300727554,103.852000972027
07551 (BUS STOP),1.30171975816576,103.854613226771
07561 (BUS STOP),1.29945446458278,103.852679838573
07569 (BUS STOP),1.29949531334742,103.85301395383
07571 (BUS STOP),1.30063444632316,103.851140093078
07589 (BUS STOP),1.30320609776006,103.855499999698
08011 (BUS STOP),1.2970698501739,103.843610286657
08019 (BUS STOP),1.29624633732299,103.844070092284
08031 (BUS STOP),1.29831153790463,103.845256959417
08041 (BUS STOP),1.29811014243894,103.847806369096
08057 (BUS STOP),1.29930997279761,103.84529021423
08058 (BUS STOP),1.29895834309494,103.846541152644
08069 (BUS STOP),1.29821382250922,103.84936128376
08079 (BUS STOP),1.29921444438772,103.849103292044
08111 (BUS STOP),1.29986928702175,103.840937460821
08121 (BUS STOP),1.30027569333456,103.838776184597
08137 (BUS STOP),1.30073968408423,103.841005008101
08138 (BUS STOP),1.3004785729455,103.841847006076
09011 (BUS STOP),1.30211335099243,103.834316723768
09022 (BUS STOP),1.3025283477367,103.832397842624
09023 (BUS STOP),1.30323727324128,103.832541800302
09037 (BUS STOP),1.30234004209832,103.837012533814
09038 (BUS STOP),1.30154262457435,103.838524818356
09047 (BUS STOP),1.30446065200628,103.83294467195
09048 (BUS STOP),1.30386684431986,103.834130700582
09059 (BUS STOP),1.30044251755862,103.83623804216
09111 (BUS STOP),1.30453752616333,103.829145296218
09121 (BUS STOP),1.30397379238278,103.826996451109
09131 (BUS STOP),1.30404590806789,103.823290363428
09139 (BUS STOP),1.30351651342223,103.823639485159
09141 (BUS STOP),1.30543500002824,103.821776667091
09149 (BUS STOP),1.30608981375133,103.8212215024
09159 (BUS STOP),1.30608110327617,103.825813676123
09169 (BUS STOP),1.30701353256663,103.828355073329
09179 (BUS STOP),1.30587966247769,103.830490046118
09191 (BUS STOP),1.30488653104652,103.825497558209
09212 (BUS STOP),1.30702238421564,103.83265522649
09213 (BUS STOP),1.30783805600062,103.833050833098
09219 (BUS STOP),1.30731999692099,103.833160882917
10009 (BUS STOP),1.28210155945421,103.817224802564
10011 (BUS STOP),1.27773805885981,103.837497091652
10017 (BUS STOP),1.27832046619732,103.8376257476
10018 (BUS STOP),1.27900819671969,103.83860360622
10021 (BUS STOP),1.27744837953515,103.838388945472
10041 (BUS STOP),1.27605834777225,103.835190652989
10049 (BUS STOP),1.27623302417576,103.83483786779
10051 (BUS STOP),1.27741163532869,103.832144109013
10059 (BUS STOP),1.27739664153839,103.832751780643
10061 (BUS STOP),1.27860472196913,103.829486388846
10069 (BUS STOP),1.27855472190064,103.830082499949
10071 (BUS STOP),1.28045309416848,103.82638920748
10079 (BUS STOP),1.28039501421043,103.827089068876
10081 (BUS STOP),1.28227835423893,103.82241744325
10089 (BUS STOP),1.28292332252561,103.821656608991
10091 (BUS STOP),1.28394108583308,103.817839622443
10099 (BUS STOP),1.2842092393245,103.81765723219
10101 (BUS STOP),1.28506195155201,103.813783301144
10109 (BUS STOP),1.2853531571562,103.813705296607
10111 (BUS STOP),1.28590455621705,103.809377904184
10119 (BUS STOP),1.28598009017576,103.811225150811
10121 (BUS STOP),1.28259924585145,103.828905419907
10129 (BUS STOP),1.2823200000588,103.828571944344
10131 (BUS STOP),1.28619141382422,103.806865490593
10139 (BUS STOP),1.28632993917651,103.808297517701
10141 (BUS STOP),1.28583847147341,103.832381798976
10149 (BUS STOP),1.28606797456897,103.832833843179
10151 (BUS STOP),1.28572048351743,103.82852922871
10161 (BUS STOP),1.28593135452643,103.826689692315
10169 (BUS STOP),1.28599961399451,103.827481239242
10171 (BUS STOP),1.28736808047106,103.823460048976
10179 (BUS STOP),1.28722333289278,103.823958333014
10181 (BUS STOP),1.28850399427356,103.821097417199
10189 (BUS STOP),1.28858805209147,103.82183192872
10191 (BUS STOP),1.28860026026966,103.81903121724
10199 (BUS STOP),1.28875723323832,103.819366186622
10201 (BUS STOP),1.28903874030239,103.817080644485
10209 (BUS STOP),1.28954631756724,103.816728854439
10211 (BUS STOP),1.29075499983645,103.81144166694
10219 (BUS STOP),1.29089526658721,103.811914248697
10221 (BUS STOP),1.29032906602697,103.831117934416
10229 (BUS STOP),1.29052137847034,103.83178189516
10231 (BUS STOP),1.29041850940137,103.827881001495
10239 (BUS STOP),1.29060688825829,103.828652974547
10241 (BUS STOP),1.29061666728541,103.823623267963
10249 (BUS STOP),1.29088138906542,103.824077778046
10261 (BUS STOP),1.29090335842722,103.82047232891
10269 (BUS STOP),1.29125331920642,103.820575832876
10271 (BUS STOP),1.29115999983947,103.817576666878
10279 (BUS STOP),1.29151373158162,103.817576608946
10281 (BUS STOP),1.29153833298345,103.814451666978
10289 (BUS STOP),1.2918699744012,103.814406394484
10291 (BUS STOP),1.29215855280728,103.810658660545
10299 (BUS STOP),1.29233498466306,103.811464867745
10321 (BUS STOP),1.29428332949718,103.815878398896
10329 (BUS STOP),1.29364671290132,103.81597460094
10331 (BUS STOP),1.28136306635711,103.818344232151
10339 (BUS STOP),1.28115835070166,103.818572508449
10341 (BUS STOP),1.28484639589771,103.820593014611
10349 (BUS STOP),1.28518797421509,103.821155709617
10351 (BUS STOP),1.28675501747238,103.822049901887
10359 (BUS STOP),1.28723833324391,103.822592990046
10361 (BUS STOP),1.28038092053248,103.82353025802
10369 (BUS STOP),1.28037471137493,103.82387343933
10371 (BUS STOP),1.28365072312571,103.824502653451
10379 (BUS STOP),1.28373603363006,103.824895209365
10381 (BUS STOP),1.28906972179786,103.825594117145
10389 (BUS STOP),1.28875832984391,103.825734550471
10391 (BUS STOP),1.27627105350629,103.831256393661
10399 (BUS STOP),1.27588166279024,103.830194541984
10401 (BUS STOP),1.28816729849342,103.811678504087
10409 (BUS STOP),1.28788221823821,103.810993177621
10411 (BUS STOP),1.28912979528033,103.812808400301
10419 (BUS STOP),1.28842024213931,103.812575497495
10421 (BUS STOP),1.28897061554726,103.815035409986
10429 (BUS STOP),1.2892779060814,103.814048054154
10431 (BUS STOP),1.28708384345225,103.813998699107
10439 (BUS STOP),1.28747956947967,103.814189365668
10441 (BUS STOP),1.28656898923384,103.811606168653
10449 (BUS STOP),1.28666552495292,103.811953780334
10451 (BUS STOP),1.28762380319793,103.817255964036
10459 (BUS STOP),1.28754723367267,103.816399202881
10461 (BUS STOP),1.29680597418935,103.811691405025
10469 (BUS STOP),1.29668400010173,103.812169189632
10471 (BUS STOP),1.29679993085213,103.814682206528
10479 (BUS STOP),1.29668099988894,103.81547381026
10481 (BUS STOP),1.28784195477951,103.817971600998
10489 (BUS STOP),1.28811638904015,103.81778388907
10499 (BUS STOP),1.27585400417719,103.834009999953
10501 (BUS STOP),1.28105845341768,103.825280654045
10519 (BUS STOP),1.29185152178477,103.826071422284
10599 (BUS STOP),1.28883435017535,103.809249973314
10651 (BUS STOP),1.28329993012244,103.815476650177
10659 (BUS STOP),1.28362333291876,103.814728333086
11001 (BUS STOP),1.31106166405562,103.78911765375
