Mall Name,Mall Lat,Mall Long
 THE PARAGON,1.30375855987932,103.835240308481
THE WOODLEIGH MALL,1.33873066388191,103.871670008192
 NTUC TIONG BAHRU PLAZA,1.28633177192832,103.827550771424
 UNITED SQUARE,1.31724362960663,103.844003130499
VALLEY POINT,1.29303600932874,103.827069067058
 NTUC WATERWAY POINT,1.4064128346795,103.902188891645
 WEST COAST PLAZA,1.30381811396596,103.766266410545
WESTGATE,1.33415767556867,103.742766484424
WHEELOCK PLACE,1.30467628730252,103.830642027577
HSBC WISMA ATRIA,1.30368769989282,103.833203583562
 WISTERIA MALL - FAIRPRICE,1.41798969122298,103.841317292608
888 PLAZA,1.43712301500434,103.795314383823
ADMIRALTY PLACE,1.43998366608733,103.801293104268
BUANGKOK SQUARE,1.38433426615655,103.881623070164
CANBERRA PLAZA,1.44349544527985,103.830345369213
DAWSON PLACE,1.29270339855062,103.810958956467
DEPOT HEIGHTS SHOPPING CENTRE,1.28084469467756,103.810292618353
AMAR KIDZ @ ELIAS MALL PTE. LTD.,1.37790533095468,103.94233582068
 FAJAR SHOPPING CENTRE,1.38357469942896,103.770868459633
 GEK POH SHOPPING CENTRE,1.3487416466288,103.697739629738
 GREENRIDGE SHOPPING CENTRE,1.38529556526689,103.766170530147
CITIBANK HEARTLAND MALL,1.35954177325561,103.885167372726
HDB HUB,1.33201387005935,103.84984949662
HOUGANG RIVERCOURT,1.36274851459883,103.894906998774
 LIMBANG SHOPPING CENTRE,1.3920738867617,103.743099573442
 LOYANG POINT,1.36645364037722,103.964598499523
NORTHSHORE PLAZA I,1.41676127156324,103.902074379502
OASIS TERRACES,1.40278015725693,103.913215101343
 OUR TAMPINES HUB,1.35218046898785,103.940598001519
 PASIR RIS WEST PLAZA - FAIRPRICE,1.37969802061042,103.936270775161
 PIONEER MALL,1.34167331883255,103.697244542805
 PUNGGOL PLAZA,1.39425629780831,103.913043510411
 RIVERVALE PLAZA BRANCH,1.38550420775531,103.901988424927
 SUNSHINE PLACE,1.37789727709418,103.739015486021
 NTUC TAMAN JURONG SHOPPING CENTRE,1.33484487471259,103.720462024278
 VISTA POINT,1.4308011390122,103.794104795966
 WOODLANDS NORTH PLAZA,1.44283592110679,103.790770766025
YEW TEE SQUARE,1.39836942665376,103.747188486453
321 CLEMENTI,1.31200212030821,103.764986676365
CATHAY CINELEISURE ORCHARD,1.30152101873533,103.836429655016
GOLDEN VILLAGE (GV YISHUN),1.42991554202388,103.836473396124
 THE CATHAY,1.29918373808483,103.847789785765
